Description|Value
Downloaded from|https://www.clio-infra.eu/IndicatorsPerCountry/China_GDPperCapita_TerritorialRef_1949_2012_CCode_156.xlsx
Text Citation|Bolt, Jutta and Jan Luiten van Zanden (2015). GDP per Capita. http://hdl.handle.net/10622/8FCYOX, accessed via the Clio Infra website.
XML Citation|https://www.clio-infra.eu/Citations/DOI-10622_8FCYOX.xml
RIS Citation|https://www.clio-infra.eu/Citations/DOI-10622_8FCYOX.ris
BIB Citation|https://www.clio-infra.eu/Citations/DOI-10622_8FCYOX.bib
