polity_id,year_from,year_to,socioeconomic_turmoil_events
CnQingL,1870,1870,38
CnQingL,1871,1871,33
CnQingL,1872,1872,16
CnQingL,1873,1873,17
CnQingL,1874,1874,22
CnQingL,1875,1875,20
CnQingL,1876,1876,37
CnQingL,1877,1877,166
CnQingL,1878,1878,129
CnQingL,1879,1879,22
CnQingL,1880,1880,12
CnQingL,1881,1881,27
CnQingL,1882,1882,22
CnQingL,1883,1883,15
CnQingL,1884,1884,15
CnQingL,1885,1885,15
CnQingL,1886,1886,26
CnQingL,1887,1887,34
CnQingL,1888,1888,36
CnQingL,1889,1889,37
CnQingL,1890,1890,24
CnQingL,1891,1891,19
CnQingL,1892,1892,36
CnQingL,1893,1893,23
CnQingL,1894,1894,20
CnQingL,1895,1895,35
CnQingL,1896,1896,35
CnQingL,1897,1897,28
CnQingL,1898,1898,35
CnQingL,1899,1899,22
CnQingL,1900,1900,45
CnQingL,1901,1901,41
CnQingL,1902,1902,74
CnQingL,1903,1903,22
CnQingL,1904,1904,22
CnQingL,1905,1905,15
CnQingL,1906,1906,19
CnQingL,1907,1907,15
CnQingL,1908,1908,15
CnQingL,1909,1909,18
CnQingL,1910,1910,22
CnQingL,1911,1911,27
