polity_id,year_from,year_to,drought_events
CnQingL,1871,1871,70
CnQingL,1872,1872,36
CnQingL,1873,1873,43
CnQingL,1874,1874,35
CnQingL,1875,1875,59
CnQingL,1876,1876,168
CnQingL,1877,1877,265
CnQingL,1878,1878,93
CnQingL,1879,1879,38
CnQingL,1880,1880,27
CnQingL,1881,1881,16
CnQingL,1882,1882,20
CnQingL,1883,1883,16
CnQingL,1884,1884,26
CnQingL,1885,1885,24
CnQingL,1886,1886,42
CnQingL,1887,1887,36
CnQingL,1888,1888,38
CnQingL,1889,1889,18
CnQingL,1890,1890,20
CnQingL,1891,1891,45
CnQingL,1892,1892,76
CnQingL,1893,1893,24
CnQingL,1894,1894,32
CnQingL,1895,1895,57
CnQingL,1896,1896,23
CnQingL,1897,1897,21
CnQingL,1898,1898,45
CnQingL,1899,1899,53
CnQingL,1900,1900,153
CnQingL,1901,1901,40
CnQingL,1902,1902,79
CnQingL,1903,1903,17
CnQingL,1904,1904,16
CnQingL,1905,1905,15
CnQingL,1906,1906,40
CnQingL,1907,1907,32
CnQingL,1908,1908,36
CnQingL,1909,1909,33
CnQingL,1910,1910,20
CnQingL,1911,1911,14
