polity_id,year_from,year_to,silver_inflow
CnQingL,1870,1870,435
CnQingL,1871,1871,882
CnQingL,1872,1872,748
CnQingL,1873,1873,874
CnQingL,1874,1874,1644
CnQingL,1875,1875,1133
CnQingL,1876,1876,285
CnQingL,1877,1877,472
CnQingL,1878,1878,255
CnQingL,1879,1879,13
CnQingL,1880,1880,247
CnQingL,1881,1881,351
CnQingL,1882,1882,384
CnQingL,1883,1883,417
CnQingL,1884,1884,450
CnQingL,1885,1885,608
CnQingL,1886,1886,765
CnQingL,1887,1887,817
CnQingL,1888,1888,-210
CnQingL,1889,1889,661
CnQingL,1890,1890,-391
CnQingL,1891,1891,-345
CnQingL,1892,1892,-592
CnQingL,1893,1893,1075
CnQingL,1894,1894,2833
CnQingL,1895,1895,3951
CnQingL,1896,1896,189
CnQingL,1897,1897,199
CnQingL,1898,1898,548
CnQingL,1899,1899,149
CnQingL,1900,1900,1699
CnQingL,1901,1901,-671
CnQingL,1902,1902,-1523
CnQingL,1903,1903,-665
CnQingL,1904,1904,-1497
CnQingL,1905,1905,-792
CnQingL,1906,1906,-2055
CnQingL,1907,1907,-3433
CnQingL,1908,1908,-1349
CnQingL,1909,1909,752
CnQingL,1910,1910,2397
CnQingL,1911,1911,4214
