polity_id,year_from,year_to,famine_events
CnQingL,1871,1871,29
CnQingL,1872,1872,16
CnQingL,1873,1873,8
CnQingL,1874,1874,8
CnQingL,1875,1875,16
CnQingL,1876,1876,77
CnQingL,1877,1877,213
CnQingL,1878,1878,131
CnQingL,1879,1879,13
CnQingL,1880,1880,4
CnQingL,1881,1881,13
CnQingL,1882,1882,9
CnQingL,1883,1883,21
CnQingL,1884,1884,24
CnQingL,1885,1885,16
CnQingL,1886,1886,18
CnQingL,1887,1887,19
CnQingL,1888,1888,18
CnQingL,1889,1889,43
CnQingL,1890,1890,17
CnQingL,1891,1891,15
CnQingL,1892,1892,32
CnQingL,1893,1893,25
CnQingL,1894,1894,22
CnQingL,1895,1895,32
CnQingL,1896,1896,34
CnQingL,1897,1897,32
CnQingL,1898,1898,36
CnQingL,1899,1899,26
CnQingL,1900,1900,82
CnQingL,1901,1901,39
CnQingL,1902,1902,29
CnQingL,1903,1903,14
CnQingL,1904,1904,13
CnQingL,1905,1905,7
CnQingL,1906,1906,23
CnQingL,1907,1907,19
CnQingL,1908,1908,13
CnQingL,1909,1909,17
CnQingL,1910,1910,17
CnQingL,1911,1911,14
