polity_id,year_from,year_to,longitude,latitude,elevation,sub_category,magnitude,duration
CnQingE,1647,1647,103.21674399999999,30.127889,648.3,Pestilence,Uncertain,No description
CnQingE,1648,1648,120.479444,30.605512,9.0,Pestilence,Heavy,No description
CnQingE,1648,1648,120.180205,30.784307000000002,2.1,Pestilence,Heavy,No description
CnQingE,1648,1648,116.360657,26.302221999999997,340.2,Pestilence,Heavy,No description
CnQingE,1648,1648,117.468772,27.232468,514.5,Pestilence,Heavy,No description
CnQingE,1648,1648,117.342699,27.652942,307.3,Pestilence,Heavy,No description
CnQingE,1648,1648,109.989832,28.160396999999996,499.4,Pestilence,Heavy,No description
CnQingE,1648,1648,109.989832,28.160396999999996,499.4,Pestilence,Heavy,No description
CnQingE,1648,1648,109.046048,25.334807,354.2,Pestilence,Heavy,No description
CnQingE,1648,1648,103.383989,29.503590000000003,967.3,Pestilence,Heavy,No description
CnQingE,1648,1648,108.25901200000001,29.352215,805.4,Pestilence,Heavy,No description
CnQingE,1648,1648,106.75083400000001,30.588582000000002,225.7,Pestilence,Heavy,No description
CnQingE,1648,1648,108.25901200000001,29.352215,805.4,Pestilence,Heavy,No description
CnQingE,1648,1648,114.102496,24.844708999999998,250.0,Pestilence,Heavy- Multiple Times,No description
CnQingE,1648,1649,106.897672,27.702516999999997,860.1,Pestilence,Heavy- Multiple Times,No description
CnQingE,1648,1648,117.775001,29.324258,138.8,Pestilence,Uncertain,No description
CnQingE,1648,1648,111.378524,28.284685999999997,624.0,Pestilence,Uncertain,No description
CnQingE,1648,1648,108.81050900000001,24.900026,924.5,Pestilence,Uncertain,No description
CnQingE,1648,1648,106.10251799999999,31.916096000000003,519.0,Pestilence,Uncertain,No description
CnQingE,1649,1649,114.01106999999999,26.700307000000002,318.3,Miasm,Uncertain,No description
CnQingE,1649,1649,116.357326,25.69121,422.6,Pestilence,Heavy,No description
CnQingE,1649,1649,116.90903999999999,26.096976,320.8,Pestilence,Heavy,No description
CnQingE,1649,1649,116.663243,26.304059000000002,355.4,Pestilence,Heavy,No description
CnQingE,1649,1649,112.339132,27.773621999999996,96.7,Pestilence,Heavy,No description
CnQingE,1649,1649,112.445027,28.513175,58.1,Pestilence,Heavy,No description
CnQingE,1649,1649,108.25901200000001,29.352215,805.4,Pestilence,Heavy,No description
CnQingE,1649,1649,114.102496,24.844708999999998,250.0,Pestilence,Heavy- Multiple Times,No description
CnQingE,1649,1649,106.897672,27.702516999999997,860.1,Pestilence,Heavy- Multiple Times,No description
CnQingE,1649,1649,114.01106999999999,26.700307000000002,318.3,Pestilence,Uncertain,No description
CnQingE,1649,1649,112.996799,25.783519000000002,271.8,Pestilence,Uncertain,No description
CnQingE,1649,1649,111.378524,28.284685999999997,624.0,Pestilence,Uncertain,No description
CnQingE,1649,1649,106.419803,31.001409999999996,319.0,Pestilence,Uncertain,No description
CnQingE,1650,1650,117.775001,29.324258,138.8,Pestilence,Heavy,No description
